4,53,1
5,63,1
9,77,1
10,59,1
12,88,1
13,49,1
13,69,1
15,75,1
18,61,1
19,65,1
22,74,1
24,58,1
27,55,1
27,72,1
28,60,1
28,76,1
30,52,1
31,60,1
32,61,1
36,72,1
58,13,2
61,15,2
61,25,2
64,20,2
64,30,2
66,18,2
66,23,2
69,15,2
69,21,2
70,4,2
72,31,2
76,27,2
77,12,2
78,16,2
83,21,2
28,147,3
32,143,3
32,149,3
33,154,3
34,141,3
35,153,3
38,143,3
38,145,3
38,151,3
41,150,3
44,143,3
44,149,3
44,156,3
46,142,3
47,149,3
49,152,3
50,142,3
52,152,3
53,144,3
54,124,3
55,155,3
60,136,3
63,139,3
74,96,4
78,94,4
85,96,4
85,115,4
86,132,4
97,122,4
98,116,4
98,124,4
99,119,4
99,128,4
101,115,4
108,111,4
108,116,4
110,111,4
111,126,4
115,117,4
117,115,4
